-2723.4639,-314.8138,7.1839,43.5562
-2694.5344,64.5550,4.3359,95.0190
-2458.2000,134.5419,35.1719,303.9446
-2796.6589,219.5733,7.1875,88.8288
-2706.5261,397.7129,4.3672,179.8611
-2866.7683,691.9363,23.4989,286.3060
-2764.9543,785.6434,52.7813,357.6817
-2660.9402,883.2115,79.7738,357.4440
-2861.0796,1047.7109,33.6068,188.2750
-2629.2009,1383.1367,7.1833,179.7006
-2079.6802,1430.0189,7.1016,177.6486
-1660.2294,1382.6698,9.8047,136.2952
-1674.1964,430.3246,7.1797,226.1357
-1954.9982,141.8080,27.1747,277.7342
-1956.1447,287.1091,35.4688,90.4465
-1888.1117,615.7245,35.1719,128.4498
-1922.5566,886.8939,35.3359,272.1293
-1983.3458,1117.0645,53.1243,271.2390
-2417.6458,970.1491,45.2969,269.3676
-2108.0171,902.8030,76.5792,5.7139
-2097.5664,658.0771,52.3672,270.4487
-2263.6650,393.7423,34.7708,136.4152
-2287.5027,149.1875,35.3125,266.3989
-2039.3571,-97.7205,35.1641,7.4744
-1867.5022,-141.9203,11.8984,22.4499
-1537.8992,116.0441,17.3226,120.8537
-1708.4763,7.0187,3.5489,319.3260
-1427.0858,-288.9430,14.1484,137.0812
-2173.0654,-392.7444,35.3359,237.0159
-2320.5286,-180.3870,35.3135,179.6980
-2930.0049,487.2518,4.9141,3.8258
